,2,3,4,5,6,7,8,9,10,A
A+2,HIT,HIT,HIT,DOUBLE/HIT,DOUBLE/HIT,HIT,HIT,HIT,HIT,HIT
A+3,HIT,HIT,HIT,DOUBLE/HIT,DOUBLE/HIT,HIT,HIT,HIT,HIT,HIT
A+4,HIT,HIT,DOUBLE/HIT,DOUBLE/HIT,DOUBLE/HIT,HIT,HIT,HIT,HIT,HIT
A+5,HIT,HIT,DOUBLE/HIT,DOUBLE/HIT,DOUBLE/HIT,HIT,HIT,HIT,HIT,HIT
A+6,HIT,DOUBLE/HIT,DOUBLE/HIT,DOUBLE/HIT,DOUBLE/HIT,HIT,HIT,HIT,HIT,HIT
A+7,DOUBLE/STAY,DOUBLE/STAY,DOUBLE/STAY,DOUBLE/STAY,DOUBLE/STAY,STAY,STAY,HIT,HIT,HIT
A+8,STAY,STAY,STAY,STAY,DOUBLE/STAY,STAY,STAY,STAY,STAY,STAY
A+9,STAY,STAY,STAY,STAY,STAY,STAY,STAY,STAY,STAY,STAY
A+10,STAY,STAY,STAY,STAY,STAY,STAY,STAY,STAY,STAY,STAY
